"Geburtsort","birth place","label"
"","","Herma Hill Kay"
"http://dbpedia.org/resource/Accra","http://dbpedia.org/resource/Accra","Hilda Akua"
"http://dbpedia.org/resource/Kristiansand","","Hilde Hefte"
"http://dbpedia.org/resource/Kiratpur_Sahib","http://dbpedia.org/resource/Kiratpur_Sahib","Himanshi Khurana"
"","","Himari Noihara"
"http://dbpedia.org/resource/Akita_Prefecture","","Himika Akaneya"
"http://dbpedia.org/resource/Tokyo","","Hitomi Kaji"
"","","Hitoshi Okamura"
"","","Homer Brightman"
"http://dbpedia.org/resource/Tehran","http://dbpedia.org/resource/Tehran","Hossein Mortezaeian Abkenar"
"http://dbpedia.org/resource/Yerevan","http://dbpedia.org/resource/Yerevan","Hovanes Margarian"
"","","Hrachya Melikyan"
