"label","Geburtsdatum","Geburtsort","birth place"
"José Besprosvany","1959-10-13","","Mexico"
"José Manuel Rodrigues","1951-04-04","http://dbpedia.org/resource/Portugal","http://dbpedia.org/resource/Portugal"
"José Monroy","","http://dbpedia.org/resource/Portugal",""
"Joyce Sylvester","1965-09-19","http://dbpedia.org/resource/Amsterdam","http://dbpedia.org/resource/Amsterdam"
"João Penedones","1980","",""
"Julia Anastasopoulos","","http://dbpedia.org/resource/Gauteng","http://dbpedia.org/resource/Gauteng"
"Julia Easterlin","","http://dbpedia.org/resource/Georgia_(U.S._state)",""
"Julian Gaertner","1985-12-08","",""
"Julian Knight (politician)","","",""
"Julio D","","http://dbpedia.org/resource/Milan","http://dbpedia.org/resource/Milan"
