"label","Wikipage page ID","Wikipage revision ID"
"Aeropuerto Internacional Baikal","47262219","683821980"
"Balaji Dental and Craniofacial Hospital","47509528","675958353"
"Ban Song Railway Station","47504491","678602999"
"バーンサパーンヤイ駅","47253008","678918583"
"Barbizon Hotel","",""
"Barlingbo","47271816","672639472"
"Barnim Panorama","47336397","681600637"
"Barrington Woolen Mill","47122561","669559074"
"Barvala-Baval","47049945","677337470"
"Basin and Range National Monument","",""
"Bealsville, Florida","45401346","648129391"
"Белоручейская узкоколейная железная дорога","47588038",""
"Berryessa Snow Mountain National Monument","",""
"Black Mountain College Museum + Arts Center","47527194","681000435"
"Blitz and Pieces","",""
"Bloom (locale)","45583095","668989201"
"Boardman River Trail","45488093","670130727"
"Bonghwa-eup","47075474","668593096"
"Borum","47555127","681444606"
"Boston Afghanan railway station","47619635","677760880"
