"lw","&nbsp;","tw","&nbsp;","&nbsp;","title","developer","label","publisher"
"-","NULL","1","&nbsp;","&nbsp;","star trek online","cryptic studios","atari","namco bandai games"
"2","NULL","2","&nbsp;","&nbsp;","football manager 2010","sports interactive","sega","sega"
"1","NULL","3","&nbsp;","&nbsp;","mass effect 2","bioware","ea games","electronic arts"
"-","NULL","4","&nbsp;","&nbsp;","s.t.a.l.k.e.r. call of pripyat","gsc game world","bitcomposer","koch media"
"3","NULL","5","&nbsp;","&nbsp;","the sims 3","the sims studio","ea games","electronic arts"
"5","NULL","6","&nbsp;","&nbsp;","the sims 3: world adventures","the sims studio","ea games","electronic arts"
"4","NULL","7","&nbsp;","&nbsp;","call of duty: modern warfare 2","infinity ward","activision","activision blizzard"
"7","NULL","8","&nbsp;","&nbsp;","world of warcraft: wrath of lich king","blizzard entertainment","blizzard","activision blizzard"
"8","NULL","9","&nbsp;","&nbsp;","dragon age: origins","bioware","ea games","electronic arts"
"6","NULL","10","&nbsp;","&nbsp;","empire: total war","creative assembly","sega","sega"
"17","NULL","11","&nbsp;","&nbsp;","batman: arkham asylum","rocksteady studios","eidos","square enix europe"
"10","NULL","12","&nbsp;","&nbsp;","fallout 3: game of the year edition","bethesda","bethesda softworks","bethesda softworks"
"9","NULL","13","&nbsp;","&nbsp;","grand theft auto iv","rockstar toronto","rockstar","take 2"
"11","NULL","14","&nbsp;","&nbsp;","left 4 dead 2","valve","ea games","electronic arts"
"12","NULL","15","&nbsp;","&nbsp;","borderlands","gearbox software","2k games","take 2"
"14","NULL","16","&nbsp;","&nbsp;","spore","maxis","ea games","electronic arts"
"15","NULL","17","&nbsp;","&nbsp;","microsoft flight simulator x gold","aces studio","microsoft","microsoft"
"13","NULL","18","&nbsp;","&nbsp;","james cameron&#39;s avatar: the game","ubisoft (montreal)","ubisoft","ubisoft"
"18","NULL","19","&nbsp;","&nbsp;","blood bowl","cyanide","focus home interactive","thq"
"16","NULL","20","&nbsp;","&nbsp;","warhammer 40000: dawn of war ii","relic","thq","thq"
