"Web    copy","Contributor","Version","Language"
"5 May 2004","ECMWF","pdf","English"
"23 April 2004","Algeria","pdf","English"
"23 April 2004","Argentina","pdf","English"
"23 April 2004","Australia","pdf","English"
"23 April 2004","Brazil","pdf","English"
"23 April 2004","Canada","pdf","English"
"23 April 2004","China","pdf","English"
"23 April 2004","Denmark","pdf","English"
"23 April 2004","Egypt","pdf","English"
"5 May 2004","France","pdf","English"
"23 April 2004","Germany","pdf","English"
"23 April 2004","Hong Kong China","pdf","English"
"23 April 2004","Hungary","pdf","English"
"23 April 2004","Iran","pdf","English"
"23 April 2004","Japan","pdf","English"
"5 May 2004","Korea Rep. of","pdf","English"
"23 April 2004","Netherlands","pdf","English"
"23 April 2004","Russian Federation","pdf","English"
"23 April 2004","Singapore","pdf","English"
"23 April 2004","Switzerland","pdf","English"
"23 April 2004","Tunisia","pdf","French"
"23 April 2004","Turkey","pdf","English"
"13 Aug 2004","United Kingdom","pdf","English"
"23 April 2004","United States","pdf","English"
