"Inhaltsstoff","BLS II.3","BLS 3.01","+- (%)","Einheit"
"Vitamin A Retinol","0.01","0.015","&uarr;  (+50)","mg"
"Vitamin D","20","20","-","?g"
"Vitamin E Aktiv.","0.45","0.45","-","mg"
"Fols?ure","3","3","-","?g"
"Vitamin B1","0.04","0.053","&uarr;  (+33)","mg"
"Vitamin B2","0.27","0.27","-","mg"
"Vitamin B6","0.14","0.143","&uarr;  (+2)","mg"
"Vitamin C","0.35","0.35","-","mg"
"a-Tocopherol","0.45","0.45","-","mg"
"Vitamin K","0","0","-","?g"
"Nicotinamid","20000","NULL","NULL","?g"
"Pantothens?ure","0.8","0.8","-","mg"
"Biotin","7","7","-","?g"
"Vitamin B12","1","0.6","&darr;  (-40)","?g"
"Retinol?quivalent","15","15","-","?g"
"?-Carotin","0","0","-","?g"
"Niacin?quivalent","23350","23533","&uarr;  (+1)","?g"
"freies Fols?ure?quivalent","2","NULL","NULL","?g"
"freie Fols?ure","2","NULL","NULL","?g"
