"","","listen","music","Album","online","mp3","Year"
"NULL","","Another Sacrifice","Life Cried","Banished Psalms","1","3:54","2009"
"NULL","","Bloodstained","Life Cried","Banished Psalms","2","5:19","2009"
"NULL","","Dressed in Filth","Life Cried","Banished Psalms","3","4:30","2009"
"NULL","","Bound in Hate","Life Cried","Banished Psalms","4","4:38","2009"
"NULL","","Alone","Life Cried","Banished Psalms","5","1:28","2009"
"NULL","","Preacher","Life Cried","Banished Psalms","6","7:09","2009"
"NULL","","More to Tarnish","Life Cried","Banished Psalms","7","5:19","2009"
"NULL","","Procession Rigor Mortis","Life Cried","Banished Psalms","8","1:10","2009"
"NULL","","Solemn","Life Cried","Banished Psalms","9","5:05","2009"
"NULL","","Forbidden","Life Cried","Banished Psalms","10","4:44","2009"
"NULL","","Derelict","Life Cried","Banished Psalms","11","1:47","2009"
