"Country","University","Language"
"Czech Republic","Masaryk University","English"
"England","Lancaster University","English"
"Finland","University of Helsinki","English"
"Finland","University of Oulu","English"
"Ghana","University of Ghana - Legon","English"
"Ireland","University College - Cork","English"
"Ireland","National University of Ireland - Galway","English"
"Japan","J.F. Oberlin  University","English and Japanese"
"Lithuania","Vilnius University","English"
"Netherlands","Utrecht University","English"
"Norway","University of Bergen","English"
"South Africa","University of the Western Cape","English"
