"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"681336738","46186979","http://www.gemeinde-sylt.de/","Archsum"
"682060435","46234432","http://erofey-arena.com/en/arena/","Арена «Ерофей»"
"677168537","46916239","http://www.armanisilos.com","Armani Silos"
"","","","Arquivo Público do Estado de São Paulo"
"683562465","47804442","http://www.artrix.org.uk","Artrix, Bromsgrove"
"","","","Ascend Amphitheater"
"681779773","47727318","http://uplegisassembly.gov.in/default.htm","Asmoli (Assembly constituency)"
"674005503","47396974","http://www.attawapiskat.org","Attawapiskat 91, Ontario"
"663755074","46508295","","Aulakh (Village)"
"674006056","47323737","http://www.aokfn.com/index.html","Aundeck Omni Kaning First Nation"
"","","","Avro Heritage Museum"
"","48009506","","Awadhesh Pratap Singh University Stadium"
"674026189","46920264","http://www.ayalatriangle.com/gardens","Ayala Triangle Gardens"
"677518847","46854907","","Azoty Arena"
"676182115","46283457","http://bdbacata.com/","BD Bacatá"
"675408230","46878624","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","Baca (municipio)"
"","47971282","","Bacchanal Buffet"
"","47845803","","Bacolod Evangelical Church"
"683653419","47654278","http://asa.com.pk/projects/bakht-tower/","Bakht Tower"
"682442258","47781819","http://balaparaup.nilphamari.gov.bd/","Balapara Union"
