"label","Wikipage page ID","Wikipage revision ID"
"أحدوبة دالية","5967468","661005510"
"Frontal bone","312065","682825538"
"Talus bone","",""
"Orbital process of palatine bone","",""
"Anterior clinoid process","",""
"Arcuate line of ilium","",""
"Calcaneal tubercle","4901761","673562414"
"Frontal process of maxilla","",""
"Ischium","3963043","662973844"
"Middle clinoid process","",""
"Posterior clinoid processes","",""
"Trochlea of humerus","",""
"Uncinate process of ethmoid bone","",""
"Basilar part of occipital bone","",""
"Huesos de la cara","",""
"Inferior costal facet","",""
"قحف عصبي","",""
"سطيح ضلعي مستعرض","",""
"Acromial angle","37165135","634618746"
"Stylomastoid foramen","",""
