"Sterbeort","death place","Geburtsort","birth place","label","Sterbedatum"
"http://dbpedia.org/resource/Republic_of_Macedonia","Aleshevce village, Lipkovo, Republic of Macedonia","http://dbpedia.org/resource/Kumanovo","http://dbpedia.org/resource/Kumanovo","Dejan Denkovski","2001-04-23"
"","","http://dbpedia.org/resource/Walnut_Creek,_California","http://dbpedia.org/resource/Walnut_Creek,_California","Delanie Wiedrich",""
"","","http://dbpedia.org/resource/Pawnee,_Oklahoma","http://dbpedia.org/resource/Pawnee,_Oklahoma","Della Warrior",""
"","","http://dbpedia.org/resource/Lynchburg,_Virginia","Lynchburg, Virginia, USA","Denice D. Lewis",""
"","","http://dbpedia.org/resource/Cork_(city)","Cork, Ireland","Denise Deegan (Irish author)",""
"","","http://dbpedia.org/resource/Sioux_City,_Iowa","Sioux City, USA","Dennis Lee Foster",""
"","","","","Dennis Smith (politician)",""
"","","","","Denny Miller (Home and Away)",""
"","","http://dbpedia.org/resource/Mumbai","http://dbpedia.org/resource/Mumbai","Denzil Smith",""
"","","http://dbpedia.org/resource/Mangalore","Kapikad, Mangalore","Devadas Kapikad",""
"","","http://dbpedia.org/resource/India","http://dbpedia.org/resource/India","Devashish Makhija",""
"","","","","Devon J. Moore",""
"","","http://dbpedia.org/resource/Florida","","Devonte Riley",""
"","","http://dbpedia.org/resource/Andhra_Pradesh","Srikakulam, Andhra Pradesh, India","Dhanunjaya Rao",""
"","","http://dbpedia.org/resource/Cedar_Rapids,_Iowa","Cedar Rapids, Iowa, U.S.","Dian Nissen",""
"","","http://dbpedia.org/resource/Elburg","Elburg, Netherlands","Dick Boschman",""
"","","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires","Diego Matías Rodríguez",""
"","","","Darjeeling, India","Dinesh Subba",""
"","","http://dbpedia.org/resource/Bhavnagar_district","Bhadi Bhandaria village, Bhavnagar district, Gujarat","Dinkar Joshi",""
"","","http://dbpedia.org/resource/São_José_dos_Campos","São José dos Campos, Brazil","Diogo Sodré",""
