"label","Geburtsort"
"Amanda Milling","http://dbpedia.org/resource/Staffordshire"
"Amanda Solloway",""
"Andrea Jenkyns","http://dbpedia.org/resource/East_Riding_of_Yorkshire"
"Bandula Lal Bandarigoda",""
"Ben Howlett",""
"Caroline Ansell",""
"Chris Law (politician)",""
"Deidre Brock","http://dbpedia.org/resource/Western_Australia"
"Dirk Stettner","http://dbpedia.org/resource/Mönchengladbach"
"Harry Harpham",""
"Jenny Leong","http://dbpedia.org/resource/Adelaide"
"Julian Knight (politician)",""
"Karin Smyth",""
"Kate Osamor",""
"Kevin Hollinrake",""
"Kirsty Blackman","http://dbpedia.org/resource/Aberdeen"
"Lisa Cameron",""
