"Most Active Organizations","Most Active Organizations","Most Active Organizations","Most Active Organizations","Most Active Organizations"
"","Organizations","Hits","% of Total","User Sessions"
"1","America Online aol.com","1725","7.37%","199"
"2","netcom.com","1459","6.23%","200"
"3","Compuserve Incorporated compuserve.com","1347","5.75%","143"
"4","At&T Easylink Services att.net","1023","4.37%","107"
"5","W95-BRETM","991","4.23%","44"
"6","Uunet Technologies Inc. UU.NET","754","3.22%","71"
"7","Erols erols.com","554","2.36%","50"
"8","earthlink.net","401","1.71%","37"
"9","Uunet Technologies Inc. ALTER.NET","392","1.67%","48"
"10","Global Network Navigator gnn.com","376","1.6%","32"
"","Total","9022","38.57%","931"
