"title","star","co-star","director","sound","note"
"12monkeys","brucewillis","madeleinestowe","terrygilliam","dolby","&nbsp;"
"afish called wanda","johncleese","jamielee curtis","charlescrichton","stereo","3x4"
"atime to kill","matthewmcconaughey","sandrabullock","joel schumacher","ac-3","&nbsp;"
"avideo standard","demo/calibration","&nbsp;","joekane","dolby","&nbsp;"
"abovethe law","stevenseagal","pamgrier","andrewdavis","dolby","&nbsp;"
"absolutepower","clinteastwood","genehackman","clinteastwood","ac-3","&nbsp;"
"acrossthe pacific","humphreybogart","maryastor","johnhuston","mono","3x4"
"airforce one","harrisonford","garyoldman","wolfgangpeterson","ac-3","&nbsp;"
"alien","sigourneyweaver","tomskerritt","ridleyscott","ac-3/thx","&nbsp;"
"aliens","sigourneyweaver","carriehenn","jamescameron","ac-3/thx","&nbsp;"
"americanpresident","michaeldouglas","annettebening","robreiner","dolby","&nbsp;"
"andromedastrain","arthurhill","davidwayne","robertwise","stereo","&nbsp;"
"apocalypsenow","martinsheen","marlinbrando","francisford coppola","dolby","&nbsp;"
"apollo13","tomhanks","kevinbacon","ronhoward","dolby/thx","&nbsp;"
"badboys","martinlawrence","willsmith","michaelday","dolby","&nbsp;"
"bartonfink","johnturturro","johngoodman","joelcoen&nbsp;","ac-3","&nbsp;"
"basicinstinct","michaeldouglas","sharonstone","paulverhoeven","dolby","&nbsp;"
"bat21","genehackman","dannyglover","petermarkle","dolby","&nbsp;"
"beverlyhills cop","eddiemurphy","judgereinhold","martinbrest","dolby/thx","&nbsp;"
"blackrain","michaeldouglas","andygarcia","ridleyscott","dolby","&nbsp;"
"bladerunner","harrisonford","rutgerhauer","ridleyscott","dolby","&nbsp;"
"blink","madeleinestowe","aidanquinn","michaelapted","dolby","&nbsp;"
"bottlerocket","owenwilson","lukewilson","wesanderson","dolby","&nbsp;"
"braveheart","melgibson","patricmcgoohan","melgibson","ac-3/thx","&nbsp;"
"bulldurham","kevincostner","susansarandon","ronshelton","dolby","3x4"
"carlito'sway","alpacino","seanpenn","briandepalma","dolby/thx","&nbsp;"
"casablanca","humphreybogart","ingridbergman","michaelcurtiz","mono","&nbsp;"
