"#","name","rtng","post","rd 1","rd 2","rd 3","rd 4","rd 5","rd 6","rd 7","tot","tbrk[m]","tbrk[s]","tbrk[c]","tbrk[o]"
"1","robert m sinn","2260","2276","w11","w9","w10","l2","w8","w3","w6","6.0","27","31","24","137"
"2","im blas lugo","2413","2407","w17","w8","w3","w1","w7","d6","l4","5.5","29","32","26","133.5"
"3","wim beatriz marinello","2206","2211","w14","w5","l2","w18","w9","l1","w8","5.0","28","31.5","21","131"
"4","francisco guadalupe","2044","2057","w20","l10","w11","l5","w16","w18","w2","5.0","25","28","18","116"
"5","boris veksler","2010","2033","w21","l3","w17","w4","l6","w12","w9","5.0","25","27.5","19","113"
"6","arnold  a dubow","2074","2091","w19","w22","w12","l7","w5","d2","l1","4.5","27.5","30","22","127.5"
"7","corey b acor","2191","2192","h---","w26","w13","w6","l2","l11","w16","4.5","23.5","23.5","19","102"
"8","jeffrey haskel","2010","2025","w25","l2","w14","w12","l1","w10","l3","4.0","27.5","29","18","121"
"9","mario v marshall","2031","2034","w15","l1","w22","w10","l3","w16","l5","4.0","26","28.5","18","117"
"10","yan oleyek","unr.","2039","w18","w4","l1","l9","w22","l8","w17","4.0","25.5","28","17","115"
"11","anthony felicione","1759","1795","l1","w15","l4","w26","w24","w7","l12","4.0","24.5","26.5","15","103"
"12","kenneth larner","2236","2209","x---","w16","l6","l8","w14","l5","w11","4.0","24","24","16","102"
"13","orlando  bayona","2107","2092","h---","w23","l7","l16","w26","d22","w20","4.0","17.5","17.5","14","72.5"
"14","eric l ramento","1693","1687","l3","w21","l8","w27","l12","d15","w23","3.5","15","20.5","12","82.5"
"15","fletcher thomas","1345","1379","l9","l11","l24","b---","w25","d14","w22","3.5","13.5","17.5","8","71"
"16","brian goldstein","1968","1961","w27","l12","w19","w13","l4","l9","l7","3.0","19.5","24.5","16","102"
"17","joseph g buvel","1772","1751","l2","w25","l5","l24","w21","w19","l10","3.0","18","23.5","11","94"
"18","michael tannenbaum","1942","1930","l10","w20","w27","l3","w19","l4","u---","3.0","15.5","20.5","14","81"
"19","janusz gromnicki","1607","1599","l6","w24","l16","w21","l18","l17","w27","3.0","14.5","19","11","84"
"20","stephen lampkin","1519","1514","l4","l18","l25","w23","w27","w24","l13","3.0","13.5","18.5","9","73"
"21","scott k arrighi","1120","1153","l5","l14","b---","l19","l17","w27","w24","3.0","12","17","7","67"
"22","paul r azzurro","1823","1800","w24","l6","l9","w25","l10","d13","l15","2.5","18.5","23","12","93.5"
"23","william c bowman","1573","1546","h---","l13","l26","l20","b---","w25","l14","2.5","10.5","14.5","7","49"
"24","jose m abad","unr.","1399","l22","l19","w15","w17","l11","l20","l21","2.0","17","21","9","73"
"25","cane punma","1123","1145","l8","l17","w20","l22","l15","l23","b---","2.0","13.5","17.5","5","65.5"
"26","mike w mason","2002","1981","h---","l7","w23","l11","l13","u---","u---","1.5","10","14.5","8","56.5"
"27","abrahiem darwish","857","848","l16","b---","l18","l14","l20","l21","l19","1.0","15","18.5","5","69"
