"category","contact","country/region","Wikipage page ID","label","Wikipage revision ID"
"","","","","Carom billiards",""
"","","","","Cutting (sport)",""
"","","","","Foot orienteering",""
"","","","","Pickleball",""
"","","","1551923","Horseshoes","683808154"
"","","","","Indoor cricket",""
"","","","","Modified stock car racing",""
"","","","41479738","Muckers (jeu)","665705373"
"","","","","Kegeln",""
"","","","","Sailing (sport)",""
"","","","","Street hockey",""
"","","","","Oină",""
"","","","43490987","Steckenpferdpolo","672257102"
"","","","","Slopestyle",""
"","","","","Pitton (sport)",""
"","","","","Flag football",""
"","","","","Box lacrosse",""
"","","","","Futsal",""
"","","","","Haxey Hood",""
