"label","Wikipage page ID"
"Swooning the Swooners","46357712"
"Le Petit Chat voleur",""
"Who Scent You?","36552856"
"Honest Love and True","27972096"
"腹ぺこブッチ",""
"Betty Boop's Crazy Inventions",""
"Broadway Folly",""
"Cracked Quack","41471921"
"Electric Earthquake",""
"Foxy by Proxy",""
"Pre-Hysterical Hare",""
"Pudgy Picks a Fight!",""
"Snow Business",""
"Spooky Swabs",""
"The Case of the Stuttering Pig",""
"The Daffy Duckaroo",""
"Belle Boys",""
"A Good Time for a Dime",""
"Donald's Snow Fight",""
"Baby Buggy Bunny",""
