"label","Wikipage page ID"
"India Book of Records","45542292"
"Indian Comics Fandom",""
"Indian Journal of Gender Studies","45458011"
"Information Systems","47082550"
"International Archives of Occupational and Environmental Health","47585797"
"International Journal of Feminist Approaches to Bioethics",""
"International Journal of Impotence Research",""
"International Journal of Multiphase Flow","47419016"
"Interstate Journal of International Affairs","47573407"
"Itä-Savo","45572188"
"Jan Morcha(News Paper)",""
"Jefferson City News Tribune","47116552"
"Journal of Accounting and Public Policy","47520654"
"Journal of American College Health","47413251"
"Journal of Cancer Research and Clinical Oncology","47564249"
"Journal of Experiential Education","45498919"
"Journal of Materials Research and Technology",""
"Journal of Mathematical Economics","45615459"
"Journal of Thoracic Oncology","47213674"
"Journal of the Australian Early Medieval Association","47260420"
