"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Hamden,_Connecticut","Avery Wilson","http://dbpedia.org/resource/Hamden,_Connecticut"
"","أيا إندو",""
"","Ayaka Fukuhara","http://dbpedia.org/resource/Kagoshima_Prefecture"
"http://dbpedia.org/resource/Osaka_Prefecture","Ayaka Yoshimura","http://dbpedia.org/resource/Osaka_Prefecture"
"http://dbpedia.org/resource/Hyōgo_Prefecture","水崎綾女","http://dbpedia.org/resource/Hyōgo_Prefecture"
"http://dbpedia.org/resource/Osaka","中条あやみ","http://dbpedia.org/resource/Osaka"
"","Azotti",""
"Lwamondo, Venda, South Africa","Azwinndini Muronga","http://dbpedia.org/resource/Venda"
"http://dbpedia.org/resource/Florida","B. J. McLeod",""
"http://dbpedia.org/resource/Anchal","B. Kemal Pasha","http://dbpedia.org/resource/Anchal"
"","BJ Norris",""
"http://dbpedia.org/resource/Wah","Baadshah Pehalwan Khan","http://dbpedia.org/resource/Wah"
"Loni, Jalna district, Maharashtra, India","Babanrao Lonikar","http://dbpedia.org/resource/Jalna_district"
"Munich, West Germany","Babette Haag",""
"","Babette Hierholzer",""
"Glomar, Kentucky","Baddiewinkle","http://dbpedia.org/resource/Kentucky"
"http://dbpedia.org/resource/Fresno,_California","Baeza (rapper)","http://dbpedia.org/resource/Fresno,_California"
"http://dbpedia.org/resource/Pakistan","Bakhtawar Zardari Bhutto","http://dbpedia.org/resource/Pakistan"
"http://dbpedia.org/resource/Accra","Ball J","http://dbpedia.org/resource/Accra"
"","Bandula Lal Bandarigoda",""
