"label","Geburtsdatum","Geburtsort","birth place"
"James Glasspool","","http://dbpedia.org/resource/Adelaide","http://dbpedia.org/resource/Adelaide"
"James Nowick","","",""
"James Vila Blake","","http://dbpedia.org/resource/Brooklyn",""
"Jamie Jackson (actor)","","",""
"Jamie Lynn Macchia","1991-10-24","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York"
"Jamie Smart (author)","","",""
"Jan Erik Mikalsen","","http://dbpedia.org/resource/Møre_og_Romsdal",""
"Jan H. Gardner","1956-09-25","http://dbpedia.org/resource/Pennsylvania","http://dbpedia.org/resource/Pennsylvania"
"Jan Hamáček","1978-11-04","http://dbpedia.org/resource/Mladá_Boleslav","http://dbpedia.org/resource/Mladá_Boleslav"
"Jan Serr","","",""
"Jane Hamlyn","1940","http://dbpedia.org/resource/Whitechapel",""
"Jane Holtz Kay","1938-07-07","http://dbpedia.org/resource/Boston",""
"Jane Marsching","","",""
"Jane Packer","1959-09-22","",""
