"label","Geburtsort","birth place"
"Ansiba Hassan","http://dbpedia.org/resource/Kerala","http://dbpedia.org/resource/Kerala"
"Anthony Kilhoffer","",""
"Tony Hunter","",""
"Antoine Westermann","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France"
"Antti Asplund","http://dbpedia.org/resource/Oulu",""
"Anu Elizabeth Jose","http://dbpedia.org/resource/Alappuzha","http://dbpedia.org/resource/Alappuzha"
"森川葵","http://dbpedia.org/resource/Aichi_Prefecture","http://dbpedia.org/resource/Aichi_Prefecture"
"中別府葵","http://dbpedia.org/resource/Kumamoto_Prefecture","http://dbpedia.org/resource/Kumamoto_Prefecture"
"Arif Peçenek","",""
"Art Hirahara","",""
"Arturo Montero","http://dbpedia.org/resource/Mexico_City","http://dbpedia.org/resource/Mexico_City"
"Arun Dubey","http://dbpedia.org/resource/Jaunpur","http://dbpedia.org/resource/Jaunpur"
