"??????? ?????","???????","?????? (%)","??????????","???? ?? ????","???????/???","??????"
"???????????? ????????????","1","9.85","4110000","$0.32","1600","www.laborkomplekt.ru/"
"???????????","1","6.15","1900000","$0.13","1000","www.laborkomple...d7%26srid%3d624"
"ph ????","1","3.63","10100000","$0.80","590","www.laborkomple...3d6%26srid%3d62"
"????????? ????","1","2.95","141000","$0.05","480","www.laborkomple...3d5%26srid%3d58"
"???????????? ????","1","2.95","2320000","$0.57","480","www.laborkomplekt.ru/"
"?????????","2","2.72","1530000","$0.60","1600","www.laborkomple...d7%26srid%3d554"
"???????????","1","2.40","155000","$0.44","390","www.laborkomple...51%26iid%3d2282"
"???????????????","1","1.97","1280000","$0.16","320","www.laborkomple...3d7%26srid%3d76"
"????????????? ????","1","1.97","775000","$0.74","320","www.laborkomple...02%26iid%3d3647"
"???? ????????????","1","1.97","555000","$0.61","320","www.laborkomplekt.ru/"
