"prize","year","winner1","winner2","winner3"
"the nobel prize in physics","1901","wilhelm conrad röntgen","NULL","NULL"
"the nobel prize in physics","1902","hendrik a. lorentz","pieter zeeman","NULL"
"the nobel prize in physics","1903","henri becquerel","pierre curie","marie curie"
"the nobel prize in physics","1904","lord rayleigh","NULL","NULL"
"the nobel prize in physics","1905","philipp lenard","NULL","NULL"
"the nobel prize in physics","1906","j.j. thomson","NULL","NULL"
"the nobel prize in physics","1907","albert a. michelson","NULL","NULL"
"the nobel prize in physics","1908","gabriel lippmann","NULL","NULL"
"the nobel prize in physics","1909","guglielmo marconi","ferdinand braun","NULL"
"the nobel prize in physics","1910","johannes diderik van der waals","NULL","NULL"
"the nobel prize in physics","1911","wilhelm wien","NULL","NULL"
"the nobel prize in physics","1912","gustaf dalén","NULL","NULL"
"the nobel prize in physics","1913","heike kamerlingh onnes","NULL","NULL"
"the nobel prize in physics","1914","max von laue","NULL","NULL"
"the nobel prize in physics","1915","william bragg","lawrence bragg","NULL"
"the nobel prize in physics","1916","n/a","NULL","NULL"
"the nobel prize in physics","1917","charles glover barkla","NULL","NULL"
"the nobel prize in physics","1918","max planck","NULL","NULL"
"the nobel prize in physics","1919","johannes stark","NULL","NULL"
"the nobel prize in physics","1920","charles edouard guillaume","NULL","NULL"
"the nobel prize in physics","1921","albert einstein","NULL","NULL"
"the nobel prize in physics","1922","niels bohr","NULL","NULL"
"the nobel prize in physics","1923","robert a. millikan","NULL","NULL"
"the nobel prize in physics","1924","manne siegbahn","NULL","NULL"
"the nobel prize in physics","1925","james franck","gustav hertz","NULL"
"the nobel prize in physics","1926","jean baptiste perrin","NULL","NULL"
"the nobel prize in physics","1927","arthur h. compton","c.t.r. wilson","NULL"
"the nobel prize in physics","1928","owen willans richardson","NULL","NULL"
"the nobel prize in physics","1929","louis de broglie","NULL","NULL"
"the nobel prize in physics","1930","venkata raman","NULL","NULL"
"the nobel prize in physics","1931","n/a","NULL","NULL"
"the nobel prize in physics","1932","werner heisenberg","NULL","NULL"
"the nobel prize in physics","1933","erwin schrödinger","paul a.m. dirac","NULL"
"the nobel prize in physics","1934","n/a","NULL","NULL"
"the nobel prize in physics","1935","james chadwick","NULL","NULL"
"the nobel prize in physics","1936","victor f. hess","carl d. anderson","NULL"
"the nobel prize in physics","1937","clinton davisson","george paget thomson","NULL"
"the nobel prize in physics","1938","enrico fermi","NULL","NULL"
"the nobel prize in physics","1939","ernest lawrence","NULL","NULL"
"the nobel prize in physics","1940","n/a","NULL","NULL"
"the nobel prize in physics","1941","n/a","NULL","NULL"
"the nobel prize in physics","1942","n/a","NULL","NULL"
"the nobel prize in physics","1943","otto stern","NULL","NULL"
"the nobel prize in physics","1944","isidor isaac rabi","NULL","NULL"
"the nobel prize in physics","1945","wolfgang pauli","NULL","NULL"
"the nobel prize in physics","1946","percy w. bridgman","NULL","NULL"
"the nobel prize in physics","1947","edward v. appleton","NULL","NULL"
