"Type","Magazine Title","Country","Language"
"Business","Advertising Age","USA","English"
"Business","Adweek","USA","English"
"Business","Australian Financial Review","Australia","English"
"Business","Barron&#39;s","USA","English"
"Business","Business 2.0","USA","English"
"Business","Business Arena - Globe","Israel","English"
"Business","Business Line","Japan","Japanese"
"Business","Business News","Australia","English"
"Business","Business Times","Singapore","English"
"Business","Business Week","USA","English"
"Business","Business Weekly","China","English"
"Business","Business World","Philipines","English"
"Business","Canadian    Business","Canada","English"
"Business","Computer    Business Review","USA","English"
"Business","Denver Business    Journal","USA","English"
"Business","Economic Times","India","English"
"Business","Economist","UK","English"
"Business","El Colombiano","Colombia","Spanish"
"Business","El Diario","Chile","Spanish"
"Business","Entrepreneur","USA","English"
"Business","Fast Company","USA","English"
"Business","Financial Gazette","South Africa","English"
"Business","Financial Post","Canada","English"
"Business","Financial Times","UK","English"
"Business","Forbes","USA","English"
"Business","Fortune","USA","English"
"Business","Fortune Small Business","USA","English"
"Business","Inc Magazine","USA","English"
"Business","La Tribune","France","French"
"Business","Les Echos","France","French"
"Business","Money","USA","English"
"Business","Ottawa Business    Journal","Canada","English"
"Business","Phoenix Business    Journal","USA","English"
"Business","Red Herring","USA","English"
"Business","Report on Business","Canada","English"
"Business","Seattle Daily Journal of Commerce","USA","English"
"Business","Singapore Business    Times","Singapore","English"
"Business","SmartMoney.com","USA","English"
"Business","Sydney Business    Review","Australia","English"
"Business","The Economist","USA","English"
"Business","Wall Street Journal","USA","English"
"Business","Worth","USA","English"
