"dimension (mm)","1970x690x1170"
"wheease (mm)","1415"
"net weight (kg)","102"
"max load (kg)","150"
"max speed (km/h)","45"
"brake (fr./rr.)","disk / drum"
"tyre size (fr./rr.)","120/70-12"
"starting type","&nbsp;electric start kick start&nbsp;"
"engine type","yb139qmb"
"engine mode","1-cylinder4-strokeair-cooled"
"bore&times;stroke","39&times;41.5"
"displacement (ccm)","49.5 ccm"
"compress ratio","10&plusmn;0.5:1&nbsp;"
"max power (kw/(r/min))","1.8kw/7000min-1"
"max torque (n&middot;m/(r/min))","2.7n.m/6000min-1"
"front absorber","hydraulic shock absorber"
"ignition","c.d.i"
"transmission","automatic cvt v-belt"
"fuel gasoline","&nbsp;(90# up)&nbsp;"
"idle&nbsp; speed (r/min)","1600&plusmn;160 r/min&nbsp;"
"clutch type","dry type automatism centrifugal"
"tank capacity(l)","6"
"consumption (l/100km)","2.5"
