"rank","player (2011 tbs)","tbs"
"1","hank aaron","6856"
"2","stan musial","6134"
"3","willie mays","6066"
"4","barry bonds","5976"
"5","ty cobb","5854"
"6","babe ruth","5793"
"7","pete rose","5752"
"8","carl yastrzemski","5539"
"9","eddie murray","5397"
"10","rafael palmeiro","5388"
"11","frank robinson","5373"
"12","ken griffey jr.","5271"
"13","dave winfield","5221"
"14","alex rodriguez (172)","5215"
"15","cal ripken jr.","5168"
"16","tris speaker","5101"
"17","lou gehrig","5060"
"18","george brett","5044"
"19","mel ott","5041"
"20","jimmie foxx","4956"
"21","ted williams","4884"
"22","honus wagner","4862"
"23","paul molitor","4854"
"24","al kaline","4852"
"25","reggie jackson","4834"
"26","manny ramírez","4826"
"27","andre dawson","4787"
