"Rank","Company","State","Industry","Revenue ($bil)","Employees"
"26","Reyes Holdings","IL","Food Wholesale","11.20 1&nbsp;&nbsp;","10000"
"27","Harrah's Entertainment","NV","Gaming Activities","10.83 &nbsp;&nbsp;&nbsp;&nbsp;","87000"
"28","Capital Group Cos","CA","Asset Management","9.90 e&nbsp;&nbsp;","9000"
"29","Dollar General","TN","Discount Variety Stores","9.50 &nbsp;&nbsp;&nbsp;&nbsp;","71500"
"30","Performance Food Group","VA","Food Wholesale","9.48 e&nbsp;&nbsp;","10600"
"31","SC Johnson & Son","WI","Personal Products","8.75 e&nbsp;&nbsp;","12000"
"32","Transammonia","NY","Agricultural Chemicals","8.34 &nbsp;&nbsp;&nbsp;&nbsp;","356"
"33","Southern Wine & Spirits","FL","Beverages - Wineries & Distillers","8.30 &nbsp;&nbsp;&nbsp;&nbsp;","10300"
"34","CDW","IL","Computer Based Systems","8.15 &nbsp;&nbsp;&nbsp;&nbsp;","6300"
"35","Cumberland Farms","MA","Grocery Stores","8.10 e&nbsp;&nbsp;","6500"
"36","Hilton Hotels","CA","Lodging","8.09 &nbsp;&nbsp;&nbsp;&nbsp;","100000"
"37","QuikTrip","OK","Grocery Stores","8.09 &nbsp;&nbsp;&nbsp;&nbsp;","10472"
"38","First Data","CO","Business Services","8.05 1&nbsp;&nbsp;","27000"
"39","Giant Eagle","PA","Grocery Stores","8.02 &nbsp;&nbsp;&nbsp;&nbsp;","37000"
"40","Energy Future Holdings","TX","Electric Utilities","7.99 &nbsp;&nbsp;&nbsp;&nbsp;","7600"
"41","Advance Publications","NY","Publishing - Newspapers","7.97 e&nbsp;&nbsp;","29100"
"42","Murdock Holding Company","CA","Farm Products","7.90 1&nbsp;&nbsp;","90204"
"43","Menard","WI","Home Improvement Stores","7.80 e&nbsp;&nbsp;","40000"
"44","Alticor","MI","Personal Products","7.10 &nbsp;&nbsp;&nbsp;&nbsp;","13000"
"45","Sinclair Oil","UT","Oil & Gas Refining & Marketing","7.00 e&nbsp;&nbsp;","7000"
"46","Gordon Food Service","MI","Food Wholesale","6.70 2&nbsp;&nbsp;","12000"
"47","Aleris International","OH","Metal Fabrication","6.60 1&nbsp;&nbsp;","8800"
"48","Hy-Vee","IA","Grocery Stores","6.27 e&nbsp;&nbsp;","54000"
"49","Peter Kiewit Sons'","NE","Heavy Construction","6.24 &nbsp;&nbsp;&nbsp;&nbsp;","19100"
"50","Colonial Group","GA","Oil & Gas Refining & Marketing","6.20 2&nbsp;&nbsp;","1100"
