"Country","Currency","Currency Code"
"Saint Helena","Saint Helenian Pound","SHP"
"Saint Kitts and Nevis","East Caribbean Dollar","XCD"
"Saint Lucia","East Caribbean Dollar","XCD"
"Saint Pierre and Miquelon","Euro","EUR"
"Saint Vincent and the Grenadines","East Caribbean Dollar","XCD"
"Samoa","Tala","WST"
"San Marino","Euro","EUR"
"Sao Tome and Principe","Dobra","STD"
"Saudi Arabia","Saudi Riyal","SAR"
"Senegal","CFA Franc BCEAO","XOF"
"Seychelles","Seychelles Rupee","SCR"
"Sierra Leone","Leone","SLL"
"Singapore","Singapore Dollar","SGD"
"Slovakia","Slovak Koruna","SKK"
"Slovenia","Tolar","SIT"
"Solomon Islands","Solomon Islands Dollar","SBD"
"Somalia","Somali Shilling","SOS"
"South Africa","Rand","ZAR"
"South Georgia and the South Sandwich Islands","Pound Sterling","GBP"
"Spain","Euro","EUR"
"Sri Lanka","Sri Lanka Rupee","LKR"
"Sudan","Sudanese Dinar","SDD"
"Suriname","Suriname Guilder","SRG"
"Svalbard","Norwegian Krone","NOK"
"Swaziland","Lilangeni","SZL"
"Sweden","Swedish Krona","SEK"
"Switzerland","Swiss Franc","CHF"
"Syria","Syrian Pound","SYP"
