"69.28.58.10","web10.alexiadns.com"
"218.213.131.112","218.213.131.112"
"207.46.199.54","msnbot-207-46-199-54.search.msn."
"220.181.108.177","baiduspider-220-181-108-177.craw"
"208.69.38.136","m18.pao.opendns.com"
"114.80.93.71","114.80.93.71"
"193.106.136.58","193.106.136.58.usersnat.smileweb"
"123.126.50.78","123.126.50.78"
"95.108.246.253","spider-95-108-246-253.yandex.com"
"111.193.186.157","111.193.186.157"
"124.115.0.140","124.115.0.140"
"193.47.80.46","crawl10.exabot.com"
"124.115.0.139","124.115.0.139"
"38.107.179.240","38.107.179.240"
"124.115.4.194","124.115.4.194"
