"ident","station","elevation feet&nbsp;&nbsp;&nbsp;&nbsp; asl","map","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"cjl6","altona muni","806","google","mb","n","49","05","40","w","97","32","02"
"cju6","arborg","765","google","mb","n","50","54","46","w","97","18","16"
"cjq5","arnes","725","google","mb","n","50","50","12","w","96","57","29"
"cje7","ashern","976","google","mb","n","51","09","31","w","98","19","55"
"cav6","beausejour/av-ranch airpark","800","google","mb","n","50","02","28","w","96","35","09"
"cybv","berens river","729","google","mb","n","52","21","32","w","97","01","05"
"cjq9","big sand lake","aprx 1050","google","mb","n","57","37","10","w","99","52","31"
"cjp7","bird river (lac du bonnet)","aprx 950","google","mb","n","50","23","48","w","95","44","06"
"czta","bloodvein river","730","google","mb","n","51","47","04","w","96","41","32"
"cybr","brandon muni","1343","google","mb","n","49","54","36","w","99","57","08"
"cybt","brochet","1131","google","mb","n","57","53","22","w","101","40","45"
"cjb2","carman/friendship field","882","google","mb","n","49","29","29","w","98","01","07"
"cjs7","carman (south)","876","google","mb","n","49","28","49","w","98","00","57"
"cyyq","churchill","96","google","mb","n","58","44","21","w","94","03","59"
"chb2","churchill (hudson bay     helicopters) (heli)","20","google","mb","n","58","46","00","w","94","10","04"
"cycr","cross lake (charlie sinclair mem)","707","google","mb","n","54","36","39","w","97","45","37"
"ckz6","crystal city-pilot mound/louise muni","1525","google","mb","n","49","08","50","w","98","52","51"
"cydn","dauphin (lt. col w.g. (billy) barker vc arpt)","998","google","mb","n","51","06","03","w","100","03","09"
"cjj4","deloraine","1684","google","mb","n","49","09","02","w","100","30","02"
"s28","dunseith/intl peace garden nd","2314","google","usa","n","48","59","52","w","100","02","37"
"ckm6","easterville","881","google","mb","n","53","06","31","w","99","47","52"
"ckz3","elk island","aprx 625","google","mb","n","54","40","17","w","94","08","43"
"ckq6","erickson muni","2114","google","mb","n","50","29","58","w","99","53","52"
"ckx4","fisher branch","825","google","mb","n","51","05","00","w","97","29","00"
"cyfo","flin flon","998","google","mb","n","54","40","41","w","101","40","55"
"cygx","gillam","476","google","mb","n","56","21","28","w","94","42","39"
"cygm","gimli      industrial      park airport","753","google","mb","n","50","37","41","w","97","02","36"
"cjr5","gladstone","900","google","mb","n","50","09","49","w","98","56","33"
"cjj2","glenboro","1240","google","mb","n","49","33","00","w","99","20","00"
"cjb6","gods lake","605","google","mb","n","54","46","45","w","93","43","01"
"cygo","gods lake narrows","616","google","mb","n","54","33","32","w","94","29","29"
"czgi","gods river","628","google","mb","n","54","50","23","w","94","04","43"
"cjv8","grand rapids","861","google","mb","n","53","10","21","w","99","19","23"
"cjk2","gunisao lake","886","google","mb","n","53","31","12","w","96","22","16"
"ckt5","hartney","1450","google","mb","n","49","27","00","w","100","33","00"
"cjt8","homewood","815","google","mb","n","49","30","33","w","97","51","02"
"czbd","ilford","642","google","mb","n","56","03","06","w","95","37","05"
"cyiv","island lake","773","google","mb","n","53","51","26","w","94","39","13"
"czjg","jenpeg","729","google","mb","n","54","31","08","w","98","02","46"
"czee","kelsey","615","google","mb","n","56","02","12","w","96","30","22"
"cjs5","killarney muni","1680","google","mb","n","49","09","06","w","99","41","25"
"cjt3","knee lake","aprx 625","google","mb","n","54","54","55","w","94","47","53"
"czwh","lac brochet","1212","google","mb","n","58","36","51","w","101","28","08"
"cyax","lac du bonnet","850","google","mb","n","50","17","41","w","96","00","36"
"cjc8","laurie river","aprx 1200","google","mb","n","56","14","55","w","101","18","15"
"cylr","leaf rapids","959","google","mb","n","56","30","48","w","99","59","07"
"cjn7","little churchill river/dunlop's       fly-in lodge","aprx 700","google","mb","n","56","34","48","w","96","14","51"
"czgr","little grand rapids","1008","google","mb","n","52","02","42","w","95","27","58"
"ckr4","lundar","830","google","mb","n","50","42","12","w","98","03","24"
"cyyl","lynn lake","1170","google","mb","n","56","51","50","w","101","04","34"
"cju3","macdonald","aprx 840","google","mb","n","50","05","47","w","98","30","03"
"ckf6","macgregor","950","google","mb","n","49","58","00","w","98","45","00"
"ckg5","manitou","1592","google","mb","n","49","15","00","w","98","32","00"
"cjt2","matheson island","725","google","mb","n","51","43","56","w","96","56","04"
"cjr8","mccreary","aprx 1000","google","mb","n","50","45","53","w","99","29","48"
"cjt5","melita","aprx 1000","google","mb","n","49","15","42","w","101","00","50"
"cju5","minnedosa","aprx 1840","google","mb","n","50","16","19","w","99","45","47"
"ckj8","molson lake","aprx 750","google","mb","n","54","15","29","w","97","00","40"
"cja3","morden regional","aprx 840","google","mb","n","49","12","37","w","98","03","33"
"cjv5","neepawa","1277","google","mb","n","50","13","57","w","99","30","36"
"cynn","nejanilini lake","aprx 1000","google","mb","n","59","29","15","w","97","46","49"
"ceg8","north      seal river","980","google","mb","n","58","58","10","w","99","58","30"
