"Territory","Language","Locale","Fonts","Package Names"
"China","Simplified Chinese","zh_CN.UTF-8","AR PL (ShanHeiSun and Zenkai) Uni","fonts-chinese scim-pinyin scim-tables"
"Japan","Japanese","ja_JP.UTF-8","Sazanami (Gothic and Mincho)","fonts-japanese scim-anthy"
"Korea","Hangul","ko_KR.UTF-8","Baekmuk (Batang Dotum Gulim Headline)","fonts-korean scim-hangul"
"Taiwan","Traditional Chinese","zh_TW.UTF-8","AR PL (ShanHeiSun and Zenkai) Uni","fonts-chinese scim-chewing scim-tables"
"Brazil","Portuguese","pt_BR.UTF-8","standard latin fonts",""
"France","French","ft_FR.UTF-8","standard latin fonts",""
"Germany","German","de_DE.UTF-8","standard latin fonts",""
"Italy","Italy","it_IT.UTF-8","standard latin fonts",""
"Russia","Russian","ru_RU.UTF-8","KOI8-R fonts-KOI8-R-100dpi fonts-KOI8-R-75dpi and xorg-x11-fonts-cyrillic","fonts-KO18-R fonts-KO18-R-100 dpifonts-KO18-R-75dpi xorg-x11-fonts-cyrillic"
"Spain","Spanish","es_ES.UTF-8","standard latin fonts",""
"India","Assamese","as_IN.UTF-8","Lohit Bengali","fonts-bengali scim-m17n m17n-db-assamese"
"India","Bengali","bn_IN.UTF-8","Lohit Bengali","fonts-bengali scim-m17n m17n-db-bengali"
"India","Gujarati","gu_IN.UTF-8","Lohit Gujarati","fonts-gujarati scim-m17n m17n-db-gujarati"
"India","Hindi","hi_IN.UTF-8","Lohit Hindi","fonts-hindi scim-m17n m17n-db-hindi"
"India","Kannada","kn_IN.UTF-8","Lohit Kannada","fonts-kannada scim-m17n m17n-db-kannada"
"India","Malayalam","ml_IN.UTF-8","Lohit Malayalam","fonts-malayalam scim-m17n m17n-db-malayalam"
"India","Marathi","mr_IN.UTF-8","Lohit Hindi","fonts-hindi scim-m17n m17n-db-marathi"
"India","Oriya","or_IN.UTF-8","Lohit Oriya","fonts-oriya scim-m17n m17n-db-oriya"
"India","Punjabi","pa_IN.UTF-8","Lohit Punjabi","fonts-punjabi scim-m17n m17n-db-punjabi"
"India","Tamil","ta_IN.UTF-8","Lohit Tamil","fonts-tamil scim-m17n m17n-db-tamil"
"India","Telugu","te_IN.UTF-8","Lohit Telugu","fonts-telugu scim-m17n m17n-db-telugu"
"Sri Lanka","Sinhala","si_LK.UTF-8","LKLUG","fonts-sinhala scim-sinhala scim-m17n m17n-db-sinhala"
