"common name","scientific name","warks","worcs","staffs","wm"
"red-throated diver","gavia stellata","2001","1997","2001","2001"
"black-throated diver","gavia arctica","2001","1995","2000","1997"
"great northern diver","gavia immer","2001","2001","2001","1986"
"little grebe","tachybaptus ruficollis","2001","2001","2001","2001"
"great crested grebe","podiceps cristatus","2001","2001","2001","2001"
"red-necked grebe","podiceps grisegena","2001","1996","2000","1996"
"slavonian grebe","podiceps auritus","2001","2000","1998","1999"
"black-necked grebe","podiceps nigricollis","2001","2001","2001","2000"
"fulmar","fulmarus glacialis","1994","2000","1993","1996"
"cory's shearwater","calonectris diomedea","-","-","1971","-"
"manx shearwater","puffinus puffinus","2000","2001","1996","1990"
"european storm-petrel","hydrobates pelagicus","1983","1968","1990","1970"
"leach's storm-petrel","oceanodroma leucorhoa","2000","1997","1989","1987"
"northern gannet","morus bassanus","1999","1997","2001","1991"
"great cormorant","phalacrocorax carbo","2001","2001","2001","2001"
"shag","phalacrocorax aristotelis","2001","2000","2000","1998"
"great bittern","botaurus stellaris","2001","2001","1999","1995"
"little bittern","ixobrychus minutus","1981","1865","1901","<1836"
"night heron","nycticorax nycticorax","2001","1983","2000","1994"
"squacco heron","ardeola ralloides","-","-","1874","-"
"cattle egret","bubulcus ibis","1994","1993","1987","-"
"little egret","egretta garzetta","2001","2001","2001","1998"
"great white egret","ardea alba","2000","1999","2001","1995"
"grey heron","ardea cinerea","2001","2001","2001","2001"
"purple heron","ardea purpurea","1990","2000","1994","-"
"black stork","ciconia nigra","-","1956","1985","-"
"white stork","ciconia ciconia","1999","1998","1999","1986"
"glossy ibis","plegadis falcinellus","-","-","1840","-"
"eurasian spoonbill","platalea leucorodia","2000","2001","1998","1999"
"mute swan","cygnus olor","2001","2001","2001","2001"
"tundra swan","cygnus columbianus","2001","2001","2001","1999"
"whooper swan","cygnus cygnus","2001","2001","2001","2000"
"bean goose","anser fabalis","1996","1999","2001","-"
"pink-footed goose","anser brachyrhynchus","2001","1999","2001","2001"
"white-fronted goose","anser albifrons","2001","2001","1999","1997"
"[lesser white-fronted goose]","anser erythropus","1991","-","1992","-"
"greylag goose","anser anser","2001","2001","2001","2001"
"[snow goose]","anser caerulescens","2001","1999","2000","2001"
"canada goose","branta canadensis","2001","2001","2001","2001"
"barnacle goose","branta leucopsis","2001","2001","2001","2000"
"brent goose","branta bernicla","2001","2000","2000","1997"
"[red-breasted goose]","branta ruficollis","1973","1996","1992","-"
"egyptian goose","alopochen aegyptiacus","2001","1989","2000","1999"
