"name:","header social"
"datatype:","marketingcontent"
"activityidentifier uniqueid:","0"
"activityidentifier name:",""
"campaignname:",""
"activityformat:",""
"activitypriority:","1"
"url link:",""
"marketing text:","&lt;div id=&#034;header-left&#034;&gt;   &lt;div class=&#034;keepintouch&#034;&gt;    &lt;h3&gt;keep in touch&lt;/h3&gt;    &lt;ul&gt;     &lt;li&gt;&lt;a href=&#034;http://www.facebook.com/bassproshops&#034; title=&#034;click to visit us on facebook&#034; target=&#034;_blank&#034; class=&#034;facebook&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/facebook18x18.png&#034; alt=&#034;click to visit us on facebook&#034; border=&#034;0&#034; /&gt; --&gt;&lt;/a&gt; &lt;/li&gt;     &lt;li&gt;&lt;a href=&#034;http://twitter.com/bass_pro_shops&#034; title=&#034;click to visit us on twitter&#034; target=&#034;_blank&#034; class=&#034;twitter&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/twitter18x18.png&#034; alt=&#034;click to visit us on twitter&#034; border=&#034;0&#034; /&gt; --&gt;&lt;/a&gt; &lt;/li&gt;     &lt;li&gt;&lt;a href=&#034;http://blogs.basspro.com&#034; target=&#034;_blank&#034; title=&#034;click to visit our blog&#034; class=&#034;blog&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/blogger18x18.png&#034; alt=&#034;click to visit our blog&#034; border=&#034;0&#034; &gt; --&gt;&lt;/a&gt; &lt;/li&gt;     &lt;!--- &lt;li&gt;&lt;a href=&#034;http://www.google.com/talk/&#034;&gt;&lt;img src=&#034;//media.basspro.com/images/icons/google18x18.png&#034; border=&#034;0&#034; /&gt;&lt;/a&gt;&lt;/li&gt;---&gt;     &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/emailprefview?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;token=&amp;bpregistered=n&amp;ddkey=emailprefupdate&amp;cmid=mh_emailnewsletter&#034; title=&#034;click for email signup&#034; target=&#034;_self&#034; class=&#034;email&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/mail18x18.png&#034; alt=&#034;click for email signup&#034; border=&#034;0&#034; /&gt; --&gt;&lt;/a&gt; &lt;/li&gt;     &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpage?appid=94&amp;storeid=10151&amp;catalogid=10051&amp;langid=-1&#034; title=&#034;click to select a store&#034; target=&#034;_self&#034; class=&#034;store&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/odw18x18.png&#034; border=&#034;0&#034; alt=&#034;click to select a store&#034;/&gt; --&gt;&lt;/a&gt; &lt;/li&gt;    &lt;/ul&gt;   &lt;/div&gt;&lt;!--.keepintouch--&gt;   &lt;div class=&#034;customer-service&#034;&gt;    &lt;a href=&#034;/webapp/wcs/stores/servlet/cfpage?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;appid=8065&amp;option=3&#034; title=&#034;click for live assistance&#034; target=&#034;_self&#034; class=&#034;cust-serv&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/customerservice18x18.png&#034; alt=&#034;click for live assistance&#034; border=&#034;0&#034; id=&#034;customerserviceicon&#034;/&gt; --&gt;&lt;/a&gt;    &lt;p&gt;1-800-227-7776&lt;/p&gt;   &lt;/div&gt;&lt;!--.customer-service--&gt;   &lt;div class=&#034;order-by-cat&#034;&gt;    &lt;a href=&#034;/webapp/wcs/stores/servlet/quickorderview?storeid=10151&amp;catalogid=10051&amp;langid=-1&#034; title=&#034;click to order by catalog item #&#034; target=&#034;_self&#034; class=&#034;order-cat&#034;&gt;&lt;!-- &lt;img src=&#034;//media.basspro.com/images/icons/orderbycatalogitemnum.png&#034; alt=&#034;click to order by catalog item #&#034; id=&#034;orderbynumber-btn&#034; border=&#034;0&#034;/&gt; --&gt;&lt;/a&gt;   &lt;/div&gt;&lt;!--.order-by-cat--&gt;  &lt;/div&gt;&lt;!--#header-left--&gt;"
"location:",""
"format uniqueid:","2"
"format name:","text"
"content mime type:",""
"name:",""
"short description:",""
"image:",""
