"Language","Region","Language","Region"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"Afrikaans","South Africa Botswana Malawi","Lao","Laos"
"Albanian","Albania Greece Macedonia","Latvian","Latvia"
"Assamese","India Bangladesh","Lithuanian","Lithuania"
"Arabic","UAE Iraq Lebanon Egypt","Macedonian","Macedonia Albania Bulgaria"
"Amharic","Ethiopia","Malay","Malaysia Brunei Indonesia"
"Assyrian","Iraq Armenia Georgia Iran","Maltese","Malta"
"Azerbaijani","Azerbaijan Afghanistan Iran","Mandarin","China HK Malysia Singapore"
"Bari","Sudan Uganda","Mon","Burma Thailand"
"Belarusian","Belarus Poland","Multani","Pakistan India"
"Bengali","Bangladesh India Nepal","Naman","South Africa"
"Birwa","South Africa Congo","Nepali","Nepal Bhutan India"
"Bislama","Vanuatu New Caledonia","Norwegian","Norway"
"Bosnian","Bosnia Herzegovina","Obanliku","Nigeria"
"Bulgarian","Bulgaria Greece Moldova","Ontong Java","Solomon Islands Austronesia"
"Burmese","Burma Bangladesh","Owiniga","Papua New Guinea"
"Cambodian","Cambodia Thailand Vietnam","Persian","Iran Iraq Oman Qatar Tajikistan"
"Cantonese","China Brunei Hong Kong","Pijin","Solomon Islands"
"Chinese","A group of Asian languages","Polish","Poland Czech Republic"
"Dari","Iran Afghanistan Pakistan","Portuguese","Portugal France East Timor"
"Dinka","Sudan","Punjabi","India Pakistan Singapore"
"Dutch","Aruba Belgium Netherlands","Romanian","Romania Hungary Moldova"
"Estonia","Finland Estonia","Russian","Russia Kyrgyzstan Mongolia"
"Fanagolo","South Africa Congo Zimbabwe","Samoan","Samoa American Samoa"
"Farsi","Pakistan Afghanistan Iran Iraq","Serbian","Serbia Albania Bosnia Herzegovina"
"French","France Algeria Andorra Belgium","Shan","Burma Thailand"
"Fujian","Taiwan Thailand Philippines","Slovakian","Slovakia Hungary Montenegro"
"Gail","South Africa","Slovenian","Slovenia Austria Hungary Italy"
"German","Austria Switzerland Slovakia","Spanish","Spain France Gibraltar"
"Greek","Greece Albania Cyprus Egypt","Swedish","Sweden Finland"
"Georgian","Georgia Iran Turkey","Tagalog","Philippines"
"Hakka","China Brunei Timor","Taiwanese","China Fujian Province Taiwan"
"Hebrew","Israel","Tajik","Tajikistan"
"Hindi","India Nepal South Africa","Tartar","China Russia Turkey"
"Hokkien","Taiwan and other&nbsp;Asian countries","Tetum","East Timor"
"Hungarian","Hungary Austria Israel Romania","Thai","Thailand"
"Icelandic","Iceland","Tibetan","China Tibet India"
"Indonesia","Indonesia Malaysia Singapore","Turkish","Turkey Uzbekistan"
"Italian","Italy Croatia France Switzerland","Urdu","Pakistan India"
"Japanese","Japan","Ukrainian","Ukraine Poland Slovakia"
"Javanese","Indonesia Malaysia Singapore","Uzbek","Uzbekistan Afghanistan Turkey"
"Juba","Sudan","Valpei","Vanuatu"
"Kakwa","Uganda Congo Sudan","Vietnamese","Vietnam China"
"Kannada","India","Vidunda","Tanzania"
"Karen","Burma Thailand","Visayan","Philippines"
"Kazakh","Kazakhstan Afghanistan Iran","Wali","Ghana Congo"
"Khmer","Cambodia Thailand Vietnam","Welsh","United Kingdom Argentina Canada"
"Kinyarwanda","Rwanda Congo Uganda","Xaasonga","Mali"
"Kirghiz","Kyrgyzstan Afghanistan China","Xhosa","South Africa Botswana Lesotho"
"Kirundi","Burundi Rwanda Tanzania","Yamongeri","Democratic Republic of Congo"
"Kiswahili","Tanzania Burundi Kenya","Zaza","Turkey"
