"Currency","Name of the Bank","&nbsp;","Nostro A/C No","Swift Code"
"USD","The Bank of New York N.A.","New York","8033166096","IRVTUS3N"
"USD","Wachovia Bank","New York","2000193003637","PNBPUS3NNYC"
"USD","Citi Bank N.A","New York","36252322","CITIUS33"
"USD","HSBC Bank USA","New York","000-033-839","MRMDUS33"
"EURO","ABN AMRO Bank AG","Frankfurt","56.02.233/088","ABNADEFFFRA"
"EURO","Commerz Bank Frankfurt","Frankfurt","400-87-50960-00","COBADEFFXXX"
"EURO","UniCredito Italiano S.P.A","Milano","9954027","UNCRITMMXXX"
"GBBP","Barclays Bank PLC","London","80414042","BARCGB22"
"GBP","National West-minister Bank PLS","London","0445-6009","NWBKGB2L"
"GBP","Standard Chartered Bank","London","1252498801","SCBLGB2L"
"CAD","HSBC Bank Canada","Ontario","930-133544-060","HKBCCATT"
"CHF","UBS AG","Switzerland","0230-9486305Q","UBSWCHZH80A"
"JPY","The Bank of New York Tokyo","Japan","5340053950","IRVTJPX"
"SEK","Skandinaviska Enskilda Banken","Sweden","5201 85 45507","ESSESESS"
"SGD","Bank of India","Singapore","3618320001","BKIDSGSG"
"AUD","Hongkong Bank of Australia","Australia","011-795699-041","HKBAAU2SMEL"
"HKD","Hongkong &amp; Shanghai Bank Corporation Ltd.","NULL","600-021448-001","HSBCHKHH"
"AED UAE Dirham","Mashreq Bank","Dubai","195511404","BOMLAEAD"
