"english","french","romanian","german","latin"
"&nbsp;","&nbsp;","a","&nbsp;","&nbsp;"
"divers","plongeon","cufundari","tauchern","gaviiformes: gaviidae"
"red-throated loon","plongeon catmarin","cufundar mic","sterntaucher","gavia stellata"
"arctic loon","plongeon arctique","cufundar polar","prachttaucher","gavia arctica"
"common loon","plongeon huard","cufundar mare","eistaucher","gavia immer"
"grebes","grebe","corcodei","stei&szlig;f&uuml;&szlig;e","podicipediformes: podicipedidae"
"little grebe","grebe castagneux","corcodel mic","zwergtaucher","tachybaptus ruficollis"
"red-necked grebe","grebe jougris","corcodel cu g&acirc;t roşu","rothalstaucher","podiceps grisegena"
"great crested grebe","grebe hupp&eacute;","corcodel mare","haubentaucher","podiceps cristatus"
"horned grebe","grebe esclavon","corcodel de iarnă","ohrentaucher","podiceps auritus"
"eared grebe","grebe a cou noir","corcodel cu g&acirc;t negru","schwarzhalstaucher","podiceps nigricollis"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","procellariiformes: procellariidae"
"manx shearwater","puffin des anglais","&nbsp;","schwarzschnabel-sturmtaucher","puffinus puffinus"
"levantine shearwater","puffin yelkouan","ielcovan estic","schwarzschnabelsturmtaucher-yelkouan","puffinus yelkouan"
"procellariiformes: hydrobatidae","procellariiformes: hydrobatidae","&nbsp;","&nbsp;","&nbsp;"
"european storm-petrel","oc&eacute;anite tempete","furtunar comun","sturmschwalbe","hydrobates pelagicus"
"pelicans","pelican","pelicani","pelikane","pelecaniformes: pelecanidae"
"great white pelican","p&eacute;lican blanc","pelican comun","rosapelikan","pelecanus onocrotalus"
"dalmatian pelican","p&eacute;lican fris&eacute;","pelican creţ","krauskopfpelikan","pelecanus crispus"
"cormorants","cormoran","cormorani","kormorane","pelecaniformes: phalacrocoracidae"
"great cormorant","grand cormoran","cormoran mare","kormoran","phalacrocorax carbo"
"european shag","cormoran hupp&eacute;","cormoran moţat","kr&auml;henscharbe","phalacrocorax aristotelis"
"pygmy cormorant","cormoran pygm&eacute;e","cormoran mic","zwergscharbe","phalacrocorax pygmaeus"
"herons","heron","starci &#8211; egrete","reiher","ciconiiformes: ardeidae"
"gray heron","h&eacute;ron cendr&eacute;","st&acirc;rc cenuşiu","graureiher","ardea cinerea"
"purple heron","h&eacute;ron pourpr&eacute;","stărc roşu","purpurreiher","ardea purpurea"
"great egret","grande aigrette","egreta mare","silberreiher","ardea alba"
"little egret","aigrette garzette","egreta mică","seidenreiher","egretta garzetta"
"squacco heron","crabier chevelu","st&acirc;rc galben","rallenreiher","ardeola ralloides"
"cattle egret","h&eacute;ron garde-boeufs","st&acirc;rc de cireadă","kuhreiher","bubulcus ibis"
"black-crowned night-heron","bihoreau gris","st&acirc;rc de noapte","nachtreiher","nycticorax nycticorax"
"little bittern","blongios nain","st&acirc;rc pitic","zwergdommel","ixobrychus minutus"
"great bittern","butor &eacute;toil&eacute;","buhai de baltă","rohrdommel","botaurus stellaris"
"storks","cigogne","berze","storche","ciconiiformes: ciconiidae"
"black stork","cigogne noire","barză neagră","schwarzstorch","ciconia nigra"
"white stork","cigogne blanche","barză albă","wei&szlig;storch","ciconia ciconia"
"ibises &#8211; spoonbills","ibis &#8211; spatule","tiganusi &#8211; lopatari","sichler &#8211; l&ouml;ffler","ciconiiformes: threskiornithidae"
"glossy ibis","ibis falcinelle","ţigănuş","sichler","plegadis falcinellus"
"eurasian spoonbill","spatule blanche","lopătar","l&ouml;ffler","platalea leucorodia"
"sacred ibis","ibis sacr&eacute;","ibis sacru","heiliger ibis","threskiornis aethiopicus"
"flamingo","flamant rose","flamingo","flamingov&ouml;gel","phoenicopteriformes: phoenicopteridae"
"greater flamingo","flamant rose","flamingo","flamingo","phoenicopterus roseus"
"swans geese and ducks","cygne oie e canard","lebede gaste rate","g&auml;nsev&ouml;gel","anseriformes: anatidae"
"mute swan","cygne tubercul&eacute;","lebădă de vară","h&ouml;ckerschwan","cygnus olor"
"whooper swan","cygne chanteur","lebădă de iarnă","singschwan","cygnus cygnus"
"tundra swan","cygne siffleur","lebădă mică","zwergschwan","cygnus columbianus"
"bean goose","oie des moissons","g&acirc;scă de semănătură","saatgans","anser fabalis"
"pink-footed goose","oie a bec court","g&acirc;scă cu cioc scurt","kurzschnabelgans","anser brachyrhynchus"
"greater white-fronted goose","oie rieuse","g&acirc;rliţa mare","bl&auml;&szlig;gans","anser albifrons"
"lesser white-fronted goose","oie naine","g&acirc;rliţa mică","zwerggans","anser erythropus"
"greylag goose","oie cendr&eacute;e","g&acirc;sca de vară","graugans","anser anser"
"snow goose","oie des neiges","gasca de zapada","schneegans","chen caerulescens"
"brant","bernache cravant","g&acirc;scă neagră","ringelgans","branta bernicla"
"barnacle goose","bernache nonnette","g&acirc;scă călugăriţă","wei&szlig;wangengans","branta leucopsis"
"red-breasted goose","bernache a cou roux","g&acirc;scă cu g&acirc;t roşu","rothalsgans","branta ruficollis"
"ruddy shelduck","tadorne casarca","călifar roşu","rostgans","tadorna ferruginea"
"common shelduck","tadorne de belon","călifar alb","brandgans","tadorna tadorna"
"eurasian wigeon","canard siffleur","raţă fluierătoare","pfeifente","anas penelope"
"gadwall","canard chipeau","raţă pestriţă","schnatterente","anas strepera"
"eurasian teal","sarcelle d hiver","raţă mică","krickente","anas crecca"
"mallard","canard colvert","raţă mare","stockente","anas platyrhynchos"
"northern pintail","canard pilet","raţă suliţar","spie&szlig;ente","anas acuta"
"garganey","sarcelle d &eacute;t&eacute;","raţă c&acirc;r&acirc;itoare","kn&auml;kente","anas querquedula"
"northern shoveler","canard souchet","raţă lingurar","l&ouml;ffelente","anas clypeata"
"marbled teal","marmaronette marbr&eacute;e","raţă porumbacă","marmelente","marmaronetta angustirostris"
"red-crested pochard","nette rousse","raţă cu ciuf","kolbenente","netta rufina"
"common pochard","fuligule milouin","raţă cu cap castaniu","tafelente","aythya ferina"
"ferruginous pochard","fuligule nyroca","raţă roşie","moorente","aythya nyroca"
"tufted duck","fuligule morillon","raţă moţată","reiherente","aythya fuligula"
"greater scaup","fuligule milouinan","raţă cu cap negru","bergente","aythya marila"
"common eider","eider a duvet","eider","eiderente","somateria mollissima"
"long-tailed duck","harelde kakawi","raţă de gheţuri","eisente","clangula hyemalis"
"black scoter","macreuse noire","raţă neagră","trauerente","melanitta nigra"
"white-winged scoter","macreuse brune","raţă catifelată","samtente","melanitta fusca"
"common goldeneye","garrot a oeil d or","raţă sunătoare","schellente","bucephala clangula"
"smew","harle piette","ferestraş mic","zwergs&auml;ger","mergellus albellus"
"red-breasted merganser","harle hupp&eacute;","ferestraş moţat","mittels&auml;ger","mergus serrator"
"common merganser","grand harle","ferestraş mare","g&auml;nses&auml;ger","mergus merganser"
"white-headed duck","&eacute;rismature a tete blanche","raţă cu cap alb","wei&szlig;kopf-ruderente","oxyura leucocephala"
"birds of prey","rapaces","rapitoare","greifv&ouml;gel","falconiformes"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","falconiformes: pandionidae"
"osprey","balbuzard pecheur","vultur pescar","fischadler","pandion haliaetus"
"falconiformes: accipitridae","falconiformes: accipitridae","&nbsp;","&nbsp;","&nbsp;"
"european honey-buzzard","bondr&eacute;e apivore","viespar","wespenbussard","pernis apivorus"
"black-shouldered kite","&eacute;lanion blanc","gaie cenuşie","gleitaar","elanus caeruleus"
"red kite","milan royal","gaie roşie","rotmilan","milvus milvus"
"black kite","milan noir","gaie neagră","schwarzmilan","milvus migrans"
"white-tailed eagle","pygargue a queue blanche","codalb","seeadler","haliaeetus albicilla"
"lammergeier","gypaete barbu","zăgan","bartgeier","gypaetus barbatus"
"egyptian vulture","vautour percnoptere","hoitar","schmutzgeier","neophron percnopterus"
"eurasian griffon","vautour fauve","vultur sur","g&auml;nsegeier","gyps fulvus"
"cinereous vulture","vautour moine","vultur negru","m&ouml;nchsgeier","aegypius monachus"
"short-toed eagle","circaete jean-le-blanc","şerpar","schlangenadler","circaetus gallicus"
"western marsh harrier","busard des roseaux","erete de stuf","rohrweihe","circus aeruginosus"
"northern harrier","busard saint-martin","erete v&acirc;nat","kornweihe","circus cyaneus"
"pallid harrier","busard p&acirc;le","erete alb","steppenweihe","circus macrourus"
"montagu s harrier","busard cendr&eacute;","erete sur","wiesenweihe","circus pygargus"
"levant sparrowhawk","&eacute;pervier a pieds courts","uliu picioare scurte","kurzfangsperber","accipiter brevipes"
"eurasian sparrowhawk","&eacute;pervier d europe","uliu păsărar","sperber","accipiter nisus"
"northern goshawk","autour des palombes","uliu porumbar","habicht","accipiter gentilis"
"eurasian buzzard","buse variable","şorecar commun","m&auml;usebussard","buteo buteo"
"long-legged buzzard","buse f&eacute;roce","şorecar mare","adlerbussard","buteo rufinus"
"upland buzzard","buse de chine","şorecar asiatic","mongolenbussard","buteo hemilasius"
"rough-legged hawk","buse pattue","şorecar &icirc;ncălţat","rauhfu&szlig;bussard","buteo lagopus"
"lesser spotted eagle","aigle pomarin","acvilă ţipătoare mică","schreiadler","aquila pomarina"
"greater spotted eagle","aigle criard","acvilă ţipătoare mare","schelladler","aquila clanga"
"steppe eagle","aigle des steppes","acvilă de stepă","steppenadler","aquila nipalensis"
"imperial eagle","aigle imp&eacute;rial","acvilă de c&acirc;mp","kaiseradler","aquila heliaca"
"golden eagle","aigle royal","acvilă de munte","steinadler","aquila chrysaetos"
"bonelli s eagle","aigle de bonelli","acvilă porumbacă","habichtsadler","aquila fasciatus"
"booted eagle","aigle bott&eacute;","acvilă mică","zwergadler","aquila pennatus"
"falconiformes: falconidae","falconiformes: falconidae","&nbsp;","&nbsp;","&nbsp;"
"lesser kestrel","faucon cr&eacute;cerellette","v&acirc;nturel mic","r&ouml;telfalke","falco naumanni"
"eurasian kestrel","faucon cr&eacute;cerelle","v&acirc;nturel roşu","turmfalke","falco tinnunculus"
"red-footed falcon","faucon kobez","v&acirc;nturel de seară","rotfu&szlig;falke","falco vespertinus"
"merlin","faucon &eacute;merillon","şoim de iarnă","merlin","falco columbarius"
"eurasian hobby","faucon hobereau","şoimul r&acirc;ndunelelor","baumfalke","falco subbuteo"
"lanner falcon","faucon lanier","şoim sudic","lannerfalke","falco biarmicus"
"saker falcon","faucon sacre","şoim dunărean","sakerfalke","falco cherrug"
"peregrine falcon","faucon pelerin","şoim călător","wanderfalke","falco peregrinus"
"fowl-like birds","gallinac&eacute;","galinacee","h&uuml;hnerv&ouml;gel","galliformes"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","galliformes: tetraonidae"
"eurasian capercaillie","grand t&eacute;tras","cocoş de munte","auerhuhn","tetrao urogallus"
"black grouse","t&eacute;tras lyre","cocoş de mesteacăn","birkhuhn","tetrao tetrix"
"hazel grouse","g&eacute;linotte des bois","ieruncă","haselhuhn","bonasa bonasia"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","galliformes: phasianidae"
"rock partridge","perdrix bartavelle","pot&acirc;rniche de st&acirc;ncă","steinhuhn","alectoris graeca"
"gray partridge","perdrix grise","pot&acirc;rniche","rebhuhn","perdix perdix"
"common quail","caille des bl&eacute;s","prepeliţă","wachtel","coturnix coturnix"
"ring-necked pheasant","faisan de colchide","fazan","fasan","phasianus colchicus"
"gruiformes: gruidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"demoiselle crane","grue demoiselle","cocor mic","jungfernkranich","anthropoides virgo"
"common crane","grue cendr&eacute;e","cocor","kranich","grus grus"
"rails and allies","r&acirc;le&amp;co","lişiţe c&acirc;rstei &amp; co","rallenv&ouml;gel","gruiformes"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gruiformes: rallidae"
"water rail","r&acirc;le d eau","c&acirc;rstel de baltă","wasserralle","rallus aquaticus"
"corn crake","r&acirc;le des genets","cristel de c&acirc;mp","wachtelk&ouml;nig","crex crex"
"little crake","marouette poussin","cresteţ cenuşiu","kleines sumpfhuhn","porzana parva"
"baillon s crake","marouette de baillon","cresteţ mic","zwergsumpfhuhn","porzana pusilla"
"spotted crake","marouette ponctu&eacute;e","cresteţ pestriţ","t&uuml;pfelsumpfhuhn","porzana porzana"
"common moorhen","gallinule poule-d eau","găinuşă de baltă","teichhuhn","gallinula chloropus"
